time,epoch,loss,accuracy,precision,recall,auc,mcc_01,mcc_05,mcc_09,mcc_099
06:14:53,52,0.149558416493237,0.9519687,0.78925276,0.64493996,0.96345854,0.60887885,0.6880873,0.4356497,0.20315304
06:21:54,53,0.1420348803550005,0.9546875,0.8048273,0.66346484,0.9682309,0.62597835,0.7067817,0.48459908,0.2188098
06:29:05,54,0.1340500191748142,0.958625,0.8225546,0.69691783,0.9716714,0.64314896,0.73511815,0.53232884,0.28367096
06:36:11,55,0.1315223914682865,0.95840627,0.8167282,0.6926286,0.97366834,0.6444386,0.7300003,0.5358127,0.30308002
06:42:59,56,0.13252604374289512,0.95790625,0.8175948,0.6935981,0.97297615,0.64473397,0.7306282,0.5300442,0.28877237
06:50:11,57,0.13079773188382388,0.9593125,0.82048243,0.7098871,0.97314453,0.64769053,0.74139196,0.53561866,0.28014806
06:57:22,58,0.12967109383642675,0.959375,0.8194444,0.70962197,0.9736668,0.6519395,0.74080145,0.54197586,0.28882346
07:04:04,59,0.129016577757895,0.95778126,0.80793154,0.7080068,0.97519696,0.65749335,0.73359764,0.5270747,0.24924265
07:11:16,60,0.1272607787773013,0.9595,0.8074074,0.7208493,0.97503513,0.6575197,0.7410444,0.52357984,0.26662615
07:18:27,61,0.12733999533206225,0.959375,0.8155608,0.7125604,0.9751159,0.6575256,0.7405133,0.5239099,0.26284763
07:25:20,62,0.1268016687259078,0.95971876,0.8149576,0.7232296,0.97512907,0.6642084,0.74599284,0.5401295,0.27722982
07:32:19,63,0.12391405408084392,0.9603438,0.8152842,0.72930264,0.9769163,0.66427445,0.7496673,0.53546935,0.2977172
07:39:30,64,0.12489766695350409,0.9600625,0.8164996,0.72534245,0.976188,0.6593307,0.7480246,0.5435845,0.2844114
07:46:35,65,0.12083842151612044,0.9622812,0.8272763,0.73455936,0.9777742,0.66460174,0.7592321,0.5457814,0.28981054
07:53:23,66,0.12520515454560519,0.95925,0.80656236,0.72621095,0.9766741,0.6647084,0.74326885,0.53061205,0.29619315
08:00:34,67,0.1252160894870758,0.96128124,0.8227412,0.73470086,0.97621244,0.6665031,0.75656295,0.5446043,0.2892305
08:07:46,68,0.12127785199135542,0.961875,0.82663023,0.73176634,0.9777057,0.6663537,0.7572343,0.53874815,0.30174965
